Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
Axis Multicap Fund - Regular Plan,5473.59,2.12,4,2.99,4,6.91,4,13.46,1,15.96,1,26.29,2,41.8,3,42.4,3,53.27,3,39.26,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22.75,-,24.98,5
Bandhan Multi Cap Fund - Regular Plan,2105.34,1.61,12,2.5,10,7.19,1,9.24,11,12.26,11,19.87,10,33.06,10,33.35,10,42.39,11,34.99,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22.28,-,20.38,10
Baroda BNP Paribas Multi Cap Fund,2458.87,2.1,5,2.21,11,5.56,11,8.96,13,13.82,7,25.44,4,41.4,4,41.65,4,48.62,7,36.93,6,23.63,4,22.43,3,17.04,3,15.75,4,16.9,5,14.56,5,16.28,2,16.19,-,25.28,4
HDFC Multi Cap Fund - Regular Plan,13815.44,1.77,10,2.63,8,7.09,2,11.03,3,14.46,3,21.95,7,37.47,7,38,7,49.99,6,42.75,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.02,-,21.81,7
HSBC Multi Cap Fund - Regular Plan,3109.33,2.04,7,2.77,6,6.28,7,9.9,10,13.76,8,26.51,1,44.56,1,45.1,1,61.64,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53.67,-,26.24,2
ICICI Prudential Multicap Fund,12047.86,1.42,13,2.69,7,6.17,9,9.01,12,10.58,14,19.86,11,36.57,8,36.11,8,46.49,8,36.78,7,23.68,3,20.31,5,16.8,4,16.03,3,17.9,4,16.11,3,18.44,1,15.66,-,20.35,11
Invesco India Multicap Fund,3623.18,2.13,3,2.51,9,6.99,3,10.04,9,14.13,5,21.52,9,34.21,9,35.05,9,46.41,9,35.65,8,19.88,7,21.7,4,16.09,5,16.34,2,19.72,1,20.14,1,-,-,16.82,-,20.64,9
Kotak Multicap Fund - Regular Plan,11371.74,1.92,8,2.05,13,6.38,5,10.5,8,12.49,10,24.49,5,42.53,2,42.56,2,58.08,2,44.94,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.4,-,25.3,3
Mahindra Manulife Multi Cap Fund - Regular Plan,3670.19,2.61,1,4.39,1,5.45,13,10.7,6,14.04,6,23.28,6,38.33,6,38.32,6,51.77,5,38.86,5,24.63,2,25.66,1,19.21,2,-,-,-,-,-,-,-,-,19.16,-,24.05,6
Nippon India Multi Cap Fund,31963.02,1.71,11,2.17,12,5.49,12,10.8,5,15.89,2,26.19,3,38.9,5,38.85,5,52.71,4,44.76,2,32.37,1,23.57,2,19.46,1,16.67,1,18.61,2,19.3,2,-,-,19.12,-,27.05,1
SBI Multicap Fund - Regular Plan,15785.91,1.16,14,1.85,14,6,10,8.82,14,11.81,13,18.89,13,28.54,13,28.8,13,36.91,13,28.26,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21.17,-,19.46,12
Sundaram Multi Cap Fund,2566.75,2.28,2,3.72,2,4.75,14,10.51,7,14.29,4,18.91,12,32.62,11,32.99,11,43.85,10,32.1,10,20.62,5,19.47,6,15.32,6,15.19,5,18,3,15.38,4,15.84,3,16.2,-,18.58,13
Tata Multicap Fund - Regular Plan,2913.19,2.04,6,3.04,3,6.31,6,10.94,4,12.24,12,15.65,14,25.2,14,25.66,14,35.15,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31.62,-,15.51,14
Nifty 500 Multicap 50:25:25 Total Return Index,,1.94,,2.85,,6.03,,9.98,,12.72,,20.25,,35.91,,35.92,,47.05,,36.81,,23.06,,23,,17.53,,16.37,,18.15,,16.4,,-,,,,20.26,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Total Funds,,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,1,,1,,1,,1,,1,,1,,6,,6
Peer Average,,1.58,,2.85,,6.22,,10.22,,11.42,,17.08,,28.98,,28.83,,34.07,,26.82,,14.73,,16.77,,14.94,,14.09,,15.3,,14.22,,17.55,,,,15.91,
Aditya Birla Sun Life ESG Integration Strategy Fund - Regular Plan,666.43,1.68,2,3.04,3,7.9,1,14.01,1,13.62,1,17.57,3,27.1,6,27.2,6,31.85,5,25.15,5,13.73,5,-,-,-,-,-,-,-,-,-,-,-,-,16.1,-,16.04,4
Axis ESG Integration Strategy Fund - Regular Plan,1338.05,1.75,1,2,6,5.87,4,7.78,6,8.11,6,16.02,5,29.04,2,28.72,2,31.06,6,24.68,6,12.25,6,-,-,-,-,-,-,-,-,-,-,-,-,18.31,-,14.31,6
ICICI Prudential ESG Exclusionary Strategy Fund,1409.93,1.39,6,3.96,1,7.17,2,9.4,4,10.05,5,15.97,6,31.79,1,31.45,1,39.8,1,30.77,1,16.3,2,-,-,-,-,-,-,-,-,-,-,-,-,21.16,-,16.5,2
Invesco India ESG Integration Strategy Fund - Regular Plan,552.17,1.53,5,2.44,5,6.29,3,8.36,5,12.17,3,17.2,4,28.46,5,28.66,4,34.27,3,25.99,4,14.89,3,-,-,-,-,-,-,-,-,-,-,-,-,17.97,-,16.33,3
Kotak ESG Exclusionary Strategy Fund - Regular Plan,988.8,1.57,4,2.46,4,4.68,6,10.13,3,11.27,4,18.11,1,28.61,4,28.3,5,34.61,2,27.7,2,14.15,4,-,-,-,-,-,-,-,-,-,-,-,-,16.12,-,16.5,1
SBI ESG Exclusionary Strategy Fund,5534.25,1.58,3,3.22,2,5.42,5,11.64,2,13.29,2,17.63,2,28.87,3,28.67,3,32.83,4,26.64,3,17.06,1,16.77,1,14.94,1,14.09,1,15.3,1,14.22,1,17.55,1,15.33,-,15.78,5
NIFTY 100 ESG Total Return Index,,2.04,,2.89,,5.97,,9.54,,9.8,,16.09,,30.41,,30.12,,34.26,,25.67,,16.15,,18.21,,17.02,,14.68,,16.44,,-,,-,,,,15.17,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELSS Schemes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Total Funds,,,19,,19,,19,,19,,19,,19,,19,,19,,19,,19,,19,,18,,18,,16,,16,,15,,9,,19,,19
Peer Average,,1.66,,2.74,,5.62,,9.83,,12.51,,20.56,,33.83,,33.66,,41.17,,32.6,,20.28,,19.32,,15.61,,15.08,,17.06,,15.78,,18.04,,,,20.17,
Aditya Birla Sun Life ELSS Tax Saver - Regular Plan,15481.43,1.23,13,2.63,12,5.4,11,10.29,6,12.95,9,19.44,10,29.63,13,29.38,13,35.21,13,26,18,13.48,18,13.45,18,11.35,18,13.36,15,15.78,15,13.66,14,15.66,8,22.06,-,19.21,10
Axis ELSS Tax Saver Fund,34895.64,1.06,17,1.68,19,6.05,5,7.47,18,7.76,19,16.86,16,27.91,15,28.27,15,29.84,19,25.04,19,11.22,19,14.64,17,14.06,16,14.52,10,17.8,4,-,-,-,-,16.55,-,16.39,15
Bandhan ELSS Tax Saver Fund - Regular Plan,6433.56,1.77,9,2.69,10,5.29,12,8.26,15,9.05,17,17.34,13,27.28,17,27.14,17,35.45,12,31.43,10,20.55,10,21.54,4,17.09,5,16.96,3,18.99,2,17.35,2,-,-,19.15,-,16.64,14
Canara Robeco ELSS Tax Saver Fund - Regular Plan,7925.68,2.06,7,3,8,4.75,17,10.09,9,12.02,12,18.15,12,31.02,10,30.92,10,34.81,14,28.95,12,17.74,15,20.32,7,17.75,4,15.57,8,16.81,9,16.36,6,19.83,2,15.54,-,17.51,12
DSP ELSS Tax Saver Fund,15161.2,2.33,2,3.42,3,6.01,6,12.18,2,16.59,2,23.07,5,38.91,5,38.33,5,48.48,3,35.08,6,21.85,6,22.05,3,17.81,3,17.27,1,19.32,1,17.51,1,-,-,16.01,-,22.73,5
Franklin India ELSS Tax Saver Fund,6397.51,1.49,12,3.18,6,4.87,15,9.53,14,11.66,14,20.03,9,34.92,8,35.1,8,46.32,6,35.57,5,22.35,5,19.79,9,15.8,9,15.76,7,17.18,7,16.43,5,18.49,5,21.72,-,19.54,9
HDFC ELSS Tax Saver Fund,14752.93,0.91,18,2.32,13,4.84,16,10.25,7,12.47,11,21.54,7,39.33,4,38.66,4,47.42,4,37.38,4,26.73,2,19.85,8,15.25,11,13.71,13,16.19,12,15.61,10,19.33,3,23.96,-,21.29,7
HSBC ELSS Tax Saver Fund,3949.85,2.13,5,3,7,6.45,4,12.23,1,17.24,1,29.15,1,41.87,3,42.08,3,47.22,5,37.89,3,21.28,9,19.05,10,14.55,13,15.08,9,16.51,11,15.8,9,-,-,15.03,-,28.38,2
ICICI Prudential ELSS Tax Saver,13110.65,1.19,15,2.67,11,5.81,8,7.27,19,8.71,18,16.49,18,27.9,16,27.64,16,33.5,17,27.39,16,18.43,13,17.42,16,15.24,12,13.87,11,16.66,10,16.6,4,19.26,4,19.66,-,15.83,18
Invesco India ELSS Tax Saver Fund,2847.83,2.19,4,3.36,4,7.14,3,11.18,5,13.71,7,20.95,8,35.08,7,35.4,7,42.22,9,32.58,9,17.72,16,18.8,11,16.2,8,15.79,6,17.78,5,16.96,3,-,-,15.4,-,20.15,8
Kotak ELSS Tax Saver - Regular Plan,5768.54,1.64,11,2.17,16,3.22,19,9.81,12,13.49,8,25.02,4,34.89,9,34.63,9,42.34,8,34.22,8,21.68,8,20.68,5,17.01,7,17.06,2,17.15,8,15.31,12,-,-,14.15,-,24.24,4
Mirae Asset ELSS Tax Saver Fund - Regular Plan,22620.57,1.69,10,2.89,9,5.81,9,9.61,13,11.8,13,17.05,14,30.02,12,29.8,12,37.02,11,28.92,13,18.17,14,20.65,6,17.86,2,-,-,-,-,-,-,-,-,19.79,-,17.06,13
Motilal Oswal ELSS Tax Saver Fund - Regular Plan,3435.94,0.81,19,1.89,18,5.96,7,10.09,8,15.46,3,27.86,2,47.55,1,47.95,1,57.79,2,44.78,1,25.23,3,22.7,2,17.09,6,-,-,-,-,-,-,-,-,18.18,-,28.97,1
Nippon India ELSS Tax Saver Fund,15026.04,2.23,3,3.24,5,5.21,13,9.99,10,13.87,6,22.11,6,37.13,6,36.64,6,45.92,7,34.73,7,23.16,4,17.61,15,11.75,17,12.47,16,16.05,13,15.59,11,-,-,14.49,-,21.45,6
Parag Parikh ELSS Tax Saver Fund - Regular Plan,3454.03,2.51,1,3.52,2,5.69,10,7.68,17,9.83,16,15.44,19,27.13,19,26.36,19,34.61,15,28.86,14,21.71,7,-,-,-,-,-,-,-,-,-,-,-,-,24.2,-,15.55,19
SBI Long Term Equity Fund - Regular Plan,23887.64,1.84,8,2.06,17,5.16,14,9.89,11,12.81,10,27.39,3,45.72,2,45.01,2,58.59,1,44.67,2,28.26,1,24.17,1,17.95,1,16.1,5,17.95,3,15.83,8,21.3,1,17.46,-,28.22,3
Sundaram ELSS Tax Saver Fund,1279.85,1.1,16,2.2,15,4.43,18,7.79,16,9.96,15,16.75,17,27.24,18,27.02,18,32.93,18,28.1,15,18.99,12,18.38,13,14.18,15,13.67,14,15.93,14,14.03,13,16.34,7,18.53,-,16.05,16
Tata ELSS Tax Saver Fund,4199.87,2.08,6,3.8,1,7.36,2,11.62,3,14,5,19.01,11,30.66,11,30.62,11,38.55,10,30.78,11,20.41,11,18.09,14,15.53,10,16.36,4,17.75,6,16.13,7,17.39,6,18.96,-,18.16,11
UTI ELSS Tax Saver Fund,3625.7,1.22,14,2.3,14,7.38,1,11.51,4,14.3,4,16.9,15,28.55,14,28.56,14,34.11,16,26.96,17,16.3,17,18.51,12,14.52,14,13.76,12,15.04,16,13.53,15,14.75,9,15.18,-,15.87,17
BSE 200 Total Return Index,,1.86,,2.83,,4.29,,9.09,,10.45,,17.89,,32.13,,31.65,,36.74,,29.99,,19.64,,19.21,,16.61,,14.97,,16.32,,14.45,,16.81,,,,17.34,
BSE 200 Index,,1.83,,2.75,,4.09,,8.61,,9.96,,17.14,,30.96,,30.48,,35.05,,28.28,,18.06,,17.66,,15.12,,13.47,,14.76,,12.9,,15.42,,,,16.59,
BSE Sensex Total Return Index,,1.69,,3.53,,4.84,,8.93,,8.93,,12.95,,23.27,,22.68,,24.25,,24.44,,16.5,,16.36,,15.77,,13.4,,15.04,,13.38,,16.61,,,,11.57,
BSE Sensex Index,,1.67,,3.43,,4.6,,8.27,,8.27,,12.09,,22.09,,21.51,,22.67,,22.85,,15.05,,14.94,,14.37,,11.96,,13.53,,11.84,,15.01,,,,10.72,
NIFTY 50 Total Return Index,,1.76,,3.34,,4.59,,8.65,,8.85,,13.69,,25.48,,24.78,,27.23,,25.48,,16.95,,16.67,,15.55,,13.52,,14.92,,13.38,,16.25,,,,12.57,
NIFTY 500 Total Return Index,,1.86,,2.87,,4.98,,9.42,,11.31,,18.62,,33.35,,33.05,,39.63,,31.73,,20.4,,19.82,,16.61,,15.08,,16.45,,14.45,,16.98,,,,18.24,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midcap Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Total Funds,,,21,,21,,21,,21,,21,,21,,21,,21,,21,,20,,20,,19,,18,,18,,16,,15,,6,,21,,21
Peer Average,,1.94,,2.47,,7.63,,13.13,,16.93,,25.58,,40.07,,40.58,,54.06,,40.18,,25.45,,25.7,,18.41,,18.61,,21.14,,19.61,,20.61,,,,25.57,
Aditya Birla Sun Life Mid Cap Fund - Regular Plan,5342.47,1,20,1.32,20,7.23,11,10.27,20,14.9,17,20.19,19,33.78,17,33.82,17,49.84,16,34.66,17,23.6,14,21.63,18,14.65,18,16.15,18,18.21,16,16.62,15,19.62,5,22.02,-,20.5,17
Axis Midcap Fund,27747.62,1.81,14,2.09,13,7.22,12,15.01,4,18.83,5,28.88,7,40.01,13,40.1,13,47.53,18,35.32,16,21.48,18,24.35,14,20.63,4,18.18,11,21.45,7,-,-,-,-,19.64,-,27.85,8
Baroda BNP Paribas Midcap Fund,1934.5,2.11,9,2.98,6,7.38,9,11.73,14,16.64,14,26.76,10,39.28,14,40.03,14,54.95,10,38.76,13,23.93,13,25.87,10,17.77,11,18.23,10,21.12,9,20.58,5,-,-,13.61,-,27.25,10
Canara Robeco Mid Cap Fund - Regular Plan,2223.58,2.72,3,3.88,2,9.42,3,14.16,8,17.63,7,28.36,8,40.05,12,41.12,12,52.11,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.7,-,27.48,9
DSP Midcap Fund - Regular Plan,17667.73,1.89,11,1.82,19,7.24,10,14.83,5,20.69,2,20.67,17,36.02,16,36.09,16,52.94,14,35.57,15,18.6,20,21.26,19,15.89,16,17.21,16,19.69,15,19.11,10,-,-,16.31,-,20.22,18
Edelweiss Mid Cap Fund - Regular Plan,5863.6,3.01,1,3.65,3,9.27,4,15.72,3,19.34,4,30.6,2,48,3,48.84,3,61.76,5,44.6,5,27.58,5,28.71,2,20.98,3,20.39,3,23.27,1,21.53,2,-,-,14.55,-,30.24,2
Franklin India Prima Fund,11011.05,1.48,15,2.02,17,8.04,8,14.39,7,18.23,6,26.06,11,43.05,7,43.52,7,54.95,11,42.61,7,23.48,15,22.44,17,16.81,14,18,12,21.01,10,19.69,7,19.83,4,19.99,-,26.11,12
HDFC Mid-Cap Opportunities Fund,65394.16,2.36,6,2.11,12,6.24,16,11.26,17,13.2,19,23.12,14,37.52,15,38.29,15,53.15,13,47.17,2,29.68,3,27.34,6,19.55,7,19.91,4,22.26,3,22.15,1,-,-,18.59,-,23.28,14
HSBC Midcap Fund,10583.54,1.85,12,2.74,7,6.03,19,11.8,13,16.82,11,29.05,5,47.13,4,47.4,4,64.72,2,42.33,8,24.75,11,23.16,15,16.32,15,18.81,8,21.21,8,19.24,8,-,-,19.95,-,29.1,5
ICICI Prudential Midcap Fund,6063.3,1.1,19,1.92,18,5.73,20,14.01,9,17.45,9,29.22,4,49.11,2,49.65,2,63.13,4,40.41,11,25.37,9,24.8,12,18.23,10,17.87,13,20.67,12,18.81,12,-,-,18.66,-,29.97,3
Invesco India Mid Cap Fund,5216.43,1.36,18,2.63,8,9.58,2,14.49,6,17.62,8,28.93,6,43.43,6,44.39,6,55.76,9,42.26,9,25.32,10,26.27,9,20.16,5,19.23,6,21.83,5,21.35,3,-,-,17.28,-,29.16,4
Kotak Emerging Equity Fund - Regular Plan,45017.71,2.65,4,3.13,5,8.64,6,17.33,1,22.31,1,29.41,3,41.29,9,41.51,9,54.34,12,40.16,12,25.49,8,27.04,7,19.8,6,21.17,1,22.64,2,20.61,4,-,-,15.98,-,28.99,6
Mahindra Manulife Mid Cap Fund - Regular Plan,2580.04,2.96,2,3.63,4,6.22,17,11.66,15,17.44,10,28.19,9,44.26,5,44.89,5,64.59,3,46.75,3,28.11,4,28.67,3,-,-,-,-,-,-,-,-,-,-,20.57,-,28.79,7
Mirae Asset Midcap Fund - Regular Plan,15353.87,1.38,17,2.07,14,6.29,15,10.05,21,13.14,20,18.91,21,32.18,18,32.54,18,48.54,17,35.97,14,23.41,16,-,-,-,-,-,-,-,-,-,-,-,-,28.96,-,19.64,20
Motilal Oswal Midcap Fund - Regular Plan,10378.16,2.57,5,3.94,1,12.61,1,16.53,2,19.36,3,35.11,1,53.15,1,53.85,1,65.64,1,50.89,1,39.21,1,30.88,1,21.24,1,21.11,2,-,-,-,-,-,-,24.43,-,34.45,1
Nippon India Growth Fund,27931.43,2.17,7,2.17,11,6.79,14,11.58,16,16.75,12,21.92,16,41.92,8,41.84,8,58.55,6,45.08,4,30.29,2,28.07,5,21.08,2,19.28,5,20.33,13,17.87,14,22.21,2,23.08,-,22.17,15
PGIM India Midcap Opportunities Fund - Regular Plan,10114.15,2.01,10,2.24,10,8.97,5,12.98,11,14.92,16,19.82,20,29.35,21,29.8,21,34.78,21,27.42,20,19.51,19,28.3,4,18.75,9,17.17,17,-,-,-,-,-,-,18.97,-,19.16,21
SBI Magnum Midcap Fund,18398.62,0.86,21,0.96,21,7.09,13,11.07,18,12.99,21,20.37,18,29.39,20,29.9,20,39.31,20,34.42,19,24.5,12,26.41,8,17.2,13,18.47,9,21.99,4,18.87,11,-,-,17.79,-,20.16,19
Sundaram Mid Cap Fund - Regular Plan,11017.41,2.13,8,2.42,9,6.07,18,10.94,19,14.55,18,23.36,13,40.68,10,41.27,10,56.87,8,42.8,6,26.72,6,22.98,16,15.66,17,17.31,15,20.06,14,18.7,13,22.63,1,24.86,-,23.9,13
Tata Midcap Growth Fund - Regular Plan,3823.84,1.47,16,2.04,15,5.54,21,12.11,12,16.68,13,25.98,12,40.32,11,41.2,11,58.37,7,41.9,10,26.09,7,25.45,11,19.43,8,19.01,7,21.52,6,19.12,9,20.15,3,13.9,-,26.59,11
UTI Mid Cap Fund - Regular Plan,10682.52,1.85,13,2.03,16,8.63,7,13.72,10,16.11,15,22.21,15,31.6,19,32.08,19,43.35,19,34.59,18,21.82,17,24.63,13,17.2,12,17.54,14,20.93,11,19.88,6,19.23,6,18.84,-,21.9,16
NIFTY Midcap 100 Total Return Index,,1.9,,2.47,,5.62,,10.65,,13.32,,21.32,,39.17,,39.42,,58.09,,46.33,,28.73,,26.98,,18.85,,18.52,,19.61,,18.02,,19.77,,,,22.24,
NIFTY Midcap 100 Index,,1.9,,2.44,,5.51,,10.52,,13.18,,20.99,,38.62,,38.87,,57.05,,45.29,,27.66,,25.83,,17.77,,17.34,,18.32,,16.71,,18.27,,,,21.9,
NIFTY Smallcap 100 Total Return Index,,2.28,,3.04,,9.45,,10.53,,15.94,,23.42,,46.43,,47.21,,71.63,,49.44,,24.61,,25.67,,15.26,,14.16,,16.48,,15.01,,18.46,,,,23.79,
BSE Mid Cap Total Return Index,,2.03,,2.17,,5.64,,10.56,,15.32,,26.84,,45.58,,45.71,,63.9,,47.77,,29.04,,27.05,,19.15,,18.64,,19.75,,17.26,,18.48,,,,27.67,
NIFTY Midcap 150 Total Return Index,,1.9,,2.36,,6.04,,11.58,,14.79,,22.91,,39.34,,39.7,,57.95,,45.36,,28.19,,28.02,,20.61,,20.1,,21.7,,19.27,,-,,,,23.72,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Cap Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Total Funds,,,20,,20,,20,,20,,20,,20,,20,,20,,20,,19,,18,,16,,12,,12,,9,,7,,,,20,,20
Peer Average,,2.26,,3.44,,9.4,,12.13,,16.52,,21.39,,34.92,,35.7,,50.21,,39.63,,26.51,,28.81,,19.33,,20.02,,22.46,,19.62,,,,,,21.69,
Aditya Birla Sun Life Small Cap Fund - Regular Plan,4762.46,2.54,6,4.07,6,10.18,6,12.51,10,17.52,7,21.7,10,32.29,12,32.74,12,48.52,8,38.07,10,20.12,18,21.44,16,13.26,12,16.07,12,18.46,9,17.48,7,-,-,13.59,-,22.04,10
Axis Small Cap Fund - Regular Plan,20504.37,2.68,4,3.13,12,8.67,14,12.74,8,14.75,17,20.22,12,31.04,14,31.67,14,41.8,19,34.83,17,24.51,14,28.34,10,21.89,2,20.62,6,-,-,-,-,-,-,24.48,-,19.21,14
Bandhan Small Cap Fund - Regular Plan,5165.54,3.22,2,4.53,2,10.36,4,11.74,14,17.73,6,27.61,1,48.91,1,49.82,1,73.81,1,48.27,3,27.64,6,-,-,-,-,-,-,-,-,-,-,-,-,39.18,-,28.8,1
Canara Robeco Small Cap Fund - Regular Plan,10429.89,2.29,9,3.19,11,8.78,13,14.31,3,16.96,9,21.61,11,34.06,10,34.74,10,46.34,11,35.37,14,27.97,4,31.56,2,-,-,-,-,-,-,-,-,-,-,29.24,-,21.83,11
DSP Small Cap Fund - Regular Plan,13781.07,1.61,18,3.9,7,12.15,2,11.45,15,15.36,16,16.83,17,29.52,17,30.21,17,44.22,15,37.09,11,25.31,11,27.74,13,17.4,10,21.01,3,23.24,4,23.16,1,-,-,18.77,-,17.55,16
Edelweiss Small Cap Fund - Regular Plan,3421.55,1.96,13,2.4,20,9.56,9,12.06,12,15.61,14,20.08,13,34.26,9,35.55,9,50.46,7,40.83,8,26.93,8,31.21,3,-,-,-,-,-,-,-,-,-,-,31.15,-,20.07,12
Franklin India Smaller Companies Fund,12797.29,1.59,19,3.1,14,9.01,11,13.63,5,19.55,2,24.81,5,43.41,4,44.4,4,61.62,3,51.22,1,32.19,2,27.98,12,18.93,8,20.21,8,24.08,3,21.69,2,-,-,17.02,-,25.24,6
HDFC Small Cap Fund - Regular Plan,29175.05,1.76,17,2.88,15,8.31,17,8.33,20,11.16,20,16.97,16,27.91,18,28.98,18,43.09,17,44.01,6,26.54,9,26.07,15,20.3,5,20.22,7,21.15,6,19.08,4,-,-,17.38,-,17.13,17
HSBC Small Cap Fund,14787.25,1.92,14,3.5,10,9.82,7,13.74,4,19.19,4,25.9,2,38.59,6,39.34,6,57.66,5,44.9,4,31.18,3,29.17,8,19.98,6,20.62,5,-,-,-,-,-,-,22.9,-,25.18,7
ICICI Prudential Smallcap Fund,7795.29,2.54,5,3.8,8,8.58,15,12.7,9,15.48,15,19.75,14,31.92,13,32.33,13,44.16,16,35.93,13,26.33,10,28.46,9,19.44,7,17.83,9,19.45,8,17.75,5,-,-,14.01,-,19.97,13
Invesco India Smallcap Fund - Regular Plan,4581.33,1.99,12,2.75,16,8.81,12,12.82,7,16.93,10,24.33,7,43.61,3,44.68,3,57.45,6,44.23,5,27.25,7,29.8,6,-,-,-,-,-,-,-,-,-,-,27.01,-,24.37,8
Kotak Small Cap Fund - Regular Plan,15282.62,1.54,20,3.11,13,9.66,8,15.39,1,19.91,1,22.45,9,35.33,8,35.61,8,45.95,12,35.27,15,23.63,15,30.23,5,20.46,4,20.92,4,21.95,5,20.51,3,-,-,18.54,-,23.07,9
Mahindra Manulife Small Cap Fund - Regular Plan,4131.27,3.58,1,4.63,1,7.56,19,10.91,17,16.89,11,25.32,4,45.91,2,46.96,2,68.15,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54.78,-,26.73,2
Nippon India Small Cap Fund,51566.11,2.88,3,3.56,9,9.37,10,13.27,6,19.42,3,25.67,3,41.65,5,42.31,5,59.39,4,49.38,2,33.55,1,34.44,1,24.56,1,24.41,1,27.58,1,-,-,-,-,23.01,-,26.02,3
PGIM India Small Cap Fund - Regular Plan,1403.38,1.85,16,2.52,18,10.28,5,9.11,18,13.27,18,15.47,20,25.2,20,26.33,20,35.65,20,26.48,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,15.13,20
SBI Small Cap Fund,28375.34,2.11,11,2.51,19,8.47,16,12.19,11,16.55,12,24.59,6,32.78,11,33.18,11,44.92,13,35.97,12,24.52,13,28.23,11,21.84,3,24.27,2,26.16,2,-,-,-,-,21.48,-,25.25,5
Sundaram Small Cap Fund - Regular Plan,3108.53,2.27,10,2.67,17,7.41,20,8.42,19,11.89,19,16.13,19,30.13,16,30.91,15,46.39,10,39.27,9,25.02,12,26.27,14,15.3,11,17.5,10,20.05,7,17.67,6,-,-,18.35,-,16.12,19
Tata Small Cap Fund - Regular Plan,7083.38,2.4,8,4.22,3,10.93,3,11.76,13,18.59,5,24.28,8,36.09,7,36.99,7,47.29,9,42.52,7,27.94,5,30.78,4,-,-,-,-,-,-,-,-,-,-,27.85,-,25.39,4
Union Small Cap Fund - Regular Plan,1425.13,1.9,15,4.14,5,7.97,18,11.05,16,16.11,13,16.31,18,25.62,19,26.44,19,44.63,14,35.04,16,23.27,17,29.18,7,18.59,9,16.6,11,-,-,-,-,-,-,16.94,-,16.76,18
